,job_id,skill_abr
246,3692361903,FIN
247,3692361906,ACCT
248,3692361906,FIN
249,3692361910,ACCT
250,3692361910,FIN
251,3692361914,ACCT
252,3692361914,FIN
253,3692361915,ACCT
254,3692361915,FIN
255,3692362852,ACCT
256,3692362852,FIN
257,3692362854,ACCT
258,3692362854,FIN
259,3692362958,CUST
260,3692362958,GENB
261,3692362958,OTHR
262,3692362963,DSGN
263,3692362963,ART
264,3692362963,IT
265,3692363690,ACCT
266,3692363690,FIN
267,3692363702,ACCT
268,3692363702,FIN
269,3692363706,ACCT
270,3692363706,FIN
271,3692363707,ACCT
272,3692363707,FIN
273,3692363708,ACCT
274,3692363708,FIN
275,3692363778,RSCH
276,3692363778,ANLS
277,3692363778,IT
278,3692363920,MGMT
279,3692364339,SALE
280,3692364339,BD
281,3692364369,ACCT
282,3692364369,FIN
283,3692364370,ACCT
284,3692364370,FIN
285,3692364372,ACCT
286,3692364372,FIN
287,3692364374,ACCT
288,3692364374,FIN
289,3692364378,ACCT
290,3692364378,FIN
291,3692364379,ACCT
292,3692364379,FIN
293,3692364380,ACCT
294,3692364380,FIN
295,3692364483,OTHR
296,3692364560,BD
297,3692364560,SALE
298,3692364599,SALE
299,3692364599,MGMT
300,3692365234,ACCT
301,3692365234,FIN
302,3692365236,ACCT
303,3692365236,FIN
304,3692365238,ACCT
305,3692365238,FIN
306,3692365242,ACCT
307,3692365242,FIN
308,3692365243,ACCT
309,3692365243,FIN
310,3692366202,ACCT
311,3692366202,FIN
312,3692366207,ACCT
313,3692366207,FIN
314,3692366208,ACCT
315,3692366208,FIN
316,3692366209,ACCT
317,3692366209,FIN
318,3692366211,ACCT
319,3692366211,FIN
320,3692366212,ACCT
321,3692366212,FIN
322,3692366214,ACCT
323,3692366214,FIN
324,3692366220,ACCT
325,3692366220,FIN
326,3692366441,ENG
327,3692366441,PRJM
328,3692366441,MNFC
329,3692367174,ACCT
330,3692367174,FIN
331,3692367178,ACCT
332,3692367178,FIN
333,3692367179,ACCT
334,3692367179,FIN
335,3692367180,ACCT
336,3692367180,FIN
337,3692367370,IT
338,3692368116,ACCT
339,3692368116,FIN
340,3692368118,ACCT
341,3692368118,FIN
342,3692368122,ACCT
343,3692368122,FIN
344,3692368249,PRJM
345,3692368249,IT
346,3692368330,BD
347,3692368330,MGMT
348,3692368330,GENB
349,3692369084,IT
350,3692369084,CNSL
351,3692370024,IT
352,3692370024,FIN
353,3692370024,CNSL
354,3696987546,PRJM
355,3696987546,STRA
356,3696987546,OTHR
357,3696987686,MGMT
358,3696987686,MNFC
359,3696987698,MGMT
360,3696987698,MNFC
361,3696987775,SALE
362,3696987775,BD
363,3696987938,SALE
364,3696987938,BD
365,3696988111,OTHR
366,3696988111,IT
367,3696988111,ENG
368,3696988374,MGMT
369,3696988374,MNFC
370,3696988456,SALE
371,3696988456,BD
372,3696988990,ENG
373,3696988990,DSGN
374,3696988990,OTHR
375,3696989463,SALE
376,3696989463,BD
377,3696989494,MGMT
378,3696989494,MNFC
379,3696989579,SALE
380,3696989579,BD
381,3696990096,PRJM
382,3696990096,STRA
383,3696990096,OTHR
384,3696990234,MGMT
385,3696990234,MNFC
386,3696990251,MGMT
387,3696990251,MNFC
388,3696990252,MGMT
389,3696990252,MNFC
390,3696990450,SALE
391,3696990450,BD
392,3696990838,SALE
393,3696990838,BD
394,3696990961,RSCH
395,3696990961,ANLS
396,3696990961,IT
397,3696990991,SALE
398,3696990991,BD
399,3696990992,SALE
400,3696990992,BD
401,3696990993,SALE
402,3696990993,BD
403,3696991158,RSCH
404,3696991158,ANLS
405,3696991158,IT
406,3696992346,SALE
407,3696992346,BD
408,3696992442,SALE
409,3696992442,BD
410,3696992556,SALE
411,3696992556,BD
412,3696993074,MGMT
413,3696993074,MNFC
414,3696993315,SALE
415,3696993315,BD
416,3696993316,SALE
417,3696993316,BD
418,3696993898,OTHR
419,3696993899,OTHR
420,3696994708,SALE
421,3696994708,BD
422,3696994715,SALE
423,3696994715,BD
424,3696994820,OTHR
425,3696994822,SALE
426,3696994822,BD
427,3696994827,MGMT
428,3696994827,MNFC
429,3696994828,MGMT
430,3696994828,MNFC
431,3696994861,SALE
432,3696994861,BD
433,3696995298,SALE
434,3696995298,BD
435,3696995419,OTHR
436,3696995462,OTHR
437,3696995466,SALE
438,3696995466,BD
439,3696995467,OTHR
440,3696995468,OTHR
441,3696996123,OTHR
442,3696997048,ENG
443,3696997048,IT
444,3696997068,OTHR
445,3696997069,SALE
446,3696997069,BD
447,3696997071,SALE
448,3696997071,BD
449,3696997739,ENG
450,3696997739,IT
451,3696998251,RSCH
452,3696998251,ANLS
453,3696998251,IT
454,3697105339,ENG
455,3697105530,OTHR
456,3700191806,MRKT
457,3700191806,PR
458,3700191806,WRT
459,3700194711,FIN
460,3700194711,SALE
461,3700199410,SALE
462,3700199410,MGMT
463,3700326545,IT
464,3700345653,DSGN
465,3700345653,ART
466,3700345653,IT
467,3700347882,CUST
468,3700347882,PRJM
469,3700347882,MGMT
470,3700348353,RSCH
471,3700348353,ANLS
472,3700348353,IT
473,3700359414,OTHR
474,3700362103,IT
475,3700365105,MGMT
476,3700365105,MNFC
477,3700365455,ACCT
478,3700365455,FIN
479,3700368597,ACCT
480,3700368597,FIN
481,3700370547,DSGN
482,3700370547,ART
483,3700370547,IT
484,3700375925,MGMT
485,3700375925,MNFC
486,3700377536,PRCH
487,3700377536,SUPL
488,3700381160,HCPR
489,3700382987,EDU
490,3700382987,TRNG
491,3700386191,MGMT
492,3700386191,MNFC
493,3700386731,MRKT
494,3700386731,SALE
495,3700388143,ACCT
496,3700388143,FIN
497,3700389632,LGL
498,3700389730,MGMT
499,3700389730,MNFC
500,3700391622,HR
501,3700394316,CNSL
502,3700394316,IT
503,3700394316,SALE
504,3700398203,ACCT
505,3700398203,FIN
506,3700504344,ACCT
507,3700504344,FIN
508,3700533944,MGMT
509,3700533944,MNFC
510,3700534083,MGMT
511,3700534083,MNFC
512,3700535284,SALE
513,3700535284,BD
514,3700535284,MRKT
515,3700535499,MGMT
516,3700535499,MNFC
517,3700536480,SALE
518,3700536480,ADM
519,3700536480,CUST
520,3700540954,HCPR
521,3700541620,OTHR
522,3700541621,OTHR
523,3700541842,OTHR
524,3700542410,GENB
525,3700542410,ACCT
526,3700542483,OTHR
527,3700542544,OTHR
528,3700542715,HCPR
529,3700542787,MGMT
530,3700542787,MNFC
531,3700542993,RSCH
532,3700542993,ANLS
533,3700542993,IT
534,3700543453,OTHR
535,3700543455,OTHR
536,3700543608,OTHR
537,3700544402,OTHR
538,3700544597,MGMT
539,3700544597,MNFC
540,3700544773,ACCT
541,3700544773,FIN
542,3700545279,OTHR
543,3700545425,SALE
544,3700545425,CUST
545,3700545538,OTHR
546,3700545776,SALE
547,3700545776,BD
548,3700545783,MRKT
549,3700545783,SALE
550,3700545792,SALE
551,3700545792,BD
552,3700545887,MGMT
553,3700545887,MNFC
554,3700545891,LGL
555,3700545895,MGMT
556,3700545895,MNFC
557,3700545914,HCPR
558,3700545915,HCPR
559,3700545931,HCPR
560,3700545942,HCPR
561,3700545981,HCPR
562,3700546087,OTHR
563,3700546537,MGMT
564,3700546537,MNFC
565,3700546660,HCPR
566,3700546700,HCPR
567,3700546703,FIN
568,3700546703,SALE
569,3700546912,SALE
570,3700546912,BD
571,3700547086,OTHR
572,3700547091,OTHR
573,3700547703,ADM
574,3700547704,ENG
575,3700547704,IT
576,3700547716,HCPR
577,3700547722,HCPR
578,3700547732,HCPR
579,3700547955,ENG
580,3700547955,IT
581,3700547963,ENG
582,3700547963,IT
583,3700547967,ENG
584,3700548301,MGMT
585,3700548301,MNFC
586,3700548312,PRDM
587,3700548312,MRKT
588,3700548314,OTHR
589,3700548315,OTHR
590,3700548350,MGMT
591,3700548350,MNFC
592,3700548351,HCPR
593,3700548387,HCPR
594,3700548550,SALE
595,3700548550,BD
596,3700548756,ACCT
597,3700548756,FIN
598,3700549188,HCPR
599,3700549194,HCPR
600,3700549196,HCPR
601,3700549213,HCPR
602,3700549219,HCPR
603,3700549253,HCPR
604,3700549264,HCPR
605,3700549399,MGMT
606,3700549399,MNFC
607,3700549411,IT
608,3700549414,MGMT
609,3700549414,MNFC
610,3700549415,ENG
611,3700549415,IT
612,3700549419,IT
613,3700549581,MGMT
614,3700549581,MNFC
615,3700549583,OTHR
616,3700549640,MGMT
617,3700549640,MNFC
618,3700549696,PRJM
619,3700549696,IT
620,3700549721,SALE
621,3700549721,BD
622,3700550019,OTHR
623,3700550084,HCPR
624,3700550106,HCPR
625,3700550107,HCPR
626,3700550116,HCPR
627,3700550295,MGMT
628,3700550295,MNFC
629,3700550306,SALE
630,3700550306,BD
631,3700550324,MGMT
632,3700550324,MNFC
633,3700550327,SALE
634,3700550327,BD
635,3700550329,FIN
636,3700550329,SALE
637,3700550924,SALE
638,3700550924,BD
639,3700550930,IT
640,3700551067,HCPR
641,3700551068,HCPR
642,3700551078,HCPR
643,3700551092,HCPR
644,3700551241,PRJM
645,3700551241,IT
646,3700551314,IT
647,3700551319,SALE
648,3700551319,BD
649,3700551320,SALE
650,3700551320,BD
651,3700551805,ENG
652,3700551805,IT
653,3700551840,MGMT
654,3700551840,MNFC
655,3700551891,SALE
656,3700551891,BD
657,3700551940,SALE
658,3700551940,BD
659,3700551946,MGMT
660,3700551946,MNFC
661,3700552042,HCPR
662,3700552043,HCPR
663,3700552073,ENG
664,3700552264,SALE
665,3700552264,BD
666,3700552276,ENG
667,3700552276,IT
668,3700552592,SALE
669,3700552592,BD
670,3700552599,IT
671,3700552890,SALE
672,3700552890,BD
673,3700552990,ENG
674,3700552990,IT
675,3700553126,IT
676,3700553136,FIN
677,3700553136,SALE
678,3700553153,ENG
679,3700553155,ENG
