,job_id,industry_id
0,3378133231,68
1,3497509795,96
2,3690843087,47
3,3691775263,112
4,3691779379,80
5,3691786992,14
6,3691789797,96
7,3691792844,116
8,3691793575,13
9,3691794313,87
10,3691795305,139
11,3691795389,87
12,3691795980,96
13,3691796226,50
14,3691797249,40
15,3691797924,6
16,3691797973,15
17,3691797979,70
18,3691797980,51
19,3691797982,11
20,3691797982,104
21,3691798875,11
22,3691798875,106
23,3691798875,96
24,3691798879,139
25,3691799048,69
26,3691799449,112
27,3691799459,96
28,3691799471,25
29,3691799471,18
30,3691799472,68
31,3691799474,44
32,3692300220,57
33,3692300361,44
34,3692300372,43
35,3692300372,44
36,3692300409,116
37,3692300409,100
38,3692301009,91
39,3692301162,96
40,3692301162,14
41,3692301162,4
42,3692301165,27
43,3692301169,44
44,3692301169,10
45,3692301171,96
46,3692301171,8
47,3692302089,96
48,3692302091,44
49,3692303023,96
50,3692303024,14
51,3692303025,57
52,3696352735,14
53,3696352735,124
54,3696352735,42
55,3696355954,104
56,3696362362,34
57,3696368461,141
58,3696369309,141
59,3696371262,141
60,3696372105,141
61,3696373506,44
62,3696374362,99
63,3696374362,50
64,3696375254,139
65,3696386986,14
66,3696386986,124
67,3696386986,42
68,3696387979,14
69,3696387979,124
70,3696387979,42
71,3696387993,14
72,3696387993,124
73,3696387993,42
74,3696388859,14
75,3696388859,124
76,3696388859,42
77,3696388875,14
78,3696388875,124
79,3696388875,42
80,3696390474,14
81,3696390474,124
82,3696390474,42
83,3696391387,14
84,3696391387,124
85,3696391387,42
86,3696391398,14
87,3696391398,124
88,3696391398,42
89,3696391403,14
90,3696391403,124
91,3696391403,42
92,3696393067,14
93,3696393067,124
94,3696393067,42
95,3696394296,48
96,3696394452,104
97,3696394454,1
98,3696394454,112
99,3696394465,27
100,3696394465,138
101,3696394465,122
102,3696395003,14
103,3696395003,124
104,3696395003,42
105,3696396337,104
106,3696396357,43
107,3696396361,1
108,3696396361,112
109,3699944307,86
110,3699953637,14
111,3699959492,13
112,3699972728,124
113,3700100103,4
114,3700101731,34
115,3700106733,25
116,3700107001,34
117,3700111693,47
118,3700124761,104
119,3700138521,55
120,3700144594,143
121,3700144710,116
122,3700144710,6
123,3700147810,47
124,3700150295,84
125,3700150295,96
126,3700152513,9
127,3700152648,28
128,3700152648,31
129,3700152648,30
130,3700154162,14
131,3700154162,97
132,3700154162,113
133,3700155066,96
134,3700155066,4
135,3700155066,8
136,3634090513,4
137,3680144775,25
138,3690663520,100
139,3690664476,44
140,3690664657,76
141,3690664657,25
142,3690665137,44
143,3690668153,91
144,3690671407,13
145,3690673578,112
146,3690692186,27
147,3690699930,14
148,3690804650,15
149,3690809682,14
150,3690813856,31
151,3690819024,34
152,3690821627,128
153,3690821627,46
154,3690825634,25
155,3690828940,15
156,3690832043,117
157,3690834347,49
158,3690835135,43
159,3690835135,11
160,3690835135,6
161,3690835330,19
162,3690840013,34
163,3690841034,75
164,3690841406,96
165,3690841533,34
166,3690841599,112
167,3690844311,42
168,3690844811,54
169,3690844811,56
170,3690844811,135
171,3690844895,11
172,3690846882,53
173,3690847441,96
174,3690849528,99
175,3690849528,48
176,3690849528,59
177,3690849991,25
178,3690850853,49
179,3690850853,145
180,3690853209,133
181,3690857635,140
182,3690859113,124
183,3690859113,14
184,3690859360,11
185,3690860158,96
186,3690867240,57
187,3690868912,146
188,3690868934,12
189,3690869468,48
190,3690870151,44
191,3690870497,104
192,3690870668,146
193,3690870668,61
194,3690876465,31
195,3692338006,50
196,3692353287,126
197,3692361903,43
198,3692361903,27
199,3692361906,43
200,3692361906,27
201,3692361910,43
202,3692361910,27
203,3692361914,43
204,3692361914,27
205,3692361915,43
206,3692361915,27
207,3692362852,43
208,3692362852,27
209,3692362854,43
210,3692362854,27
211,3692362958,4
212,3692362958,33
213,3692362958,28
214,3692362963,96
215,3692363690,43
216,3692363690,27
217,3692363702,43
218,3692363702,27
219,3692363706,43
220,3692363706,27
221,3692363707,43
222,3692363707,27
223,3692363708,43
224,3692363708,27
225,3692363778,96
226,3692363920,122
227,3692364339,43
228,3692364339,27
229,3692364369,43
230,3692364369,27
231,3692364370,43
232,3692364370,27
233,3692364372,43
234,3692364372,27
235,3692364374,43
236,3692364374,27
237,3692364378,43
238,3692364378,27
239,3692364379,43
240,3692364379,27
241,3692364380,43
242,3692364380,27
243,3692364560,123
244,3692365234,43
245,3692365234,27
246,3692365236,43
247,3692365236,27
248,3692365238,43
249,3692365238,27
250,3692365242,43
251,3692365242,27
252,3692365243,43
253,3692365243,27
254,3692366202,43
255,3692366202,27
256,3692366207,43
257,3692366207,27
258,3692366208,43
259,3692366208,27
260,3692366209,43
261,3692366209,27
262,3692366211,43
263,3692366211,27
264,3692366212,43
265,3692366212,27
266,3692366214,43
267,3692366214,27
268,3692366220,43
269,3692366220,27
270,3692366441,135
271,3692366441,112
272,3692367174,43
273,3692367174,27
274,3692367178,43
275,3692367178,27
276,3692367179,43
277,3692367179,27
278,3692367180,43
279,3692367180,27
280,3692367370,53
281,3692368116,43
282,3692368116,27
283,3692368118,43
284,3692368118,27
285,3692368122,43
286,3692368122,27
287,3692368249,48
288,3692368330,100
289,3692369039,98
290,3692369084,96
291,3692369084,84
292,3692370024,96
293,3696987546,84
294,3696987546,6
295,3696987686,27
296,3696987698,27
297,3696987775,27
298,3696987938,27
299,3696988111,84
300,3696988111,6
301,3696988374,27
302,3696988456,27
303,3696988990,53
304,3696988990,135
305,3696988990,147
306,3696989463,27
307,3696989494,27
308,3696989579,27
309,3696990096,84
310,3696990096,6
311,3696990234,27
312,3696990251,27
313,3696990252,27
314,3696990450,27
315,3696990838,27
316,3696990961,96
317,3696990991,27
318,3696990992,27
319,3696990993,27
320,3696991158,104
321,3696992346,27
322,3696992442,27
323,3696992556,27
324,3696993074,27
325,3696993315,27
326,3696993316,27
327,3696993898,27
328,3696993899,27
329,3696994708,27
330,3696994715,27
331,3696994820,27
332,3696994822,27
333,3696994827,27
334,3696994828,27
335,3696994861,27
336,3696995298,27
337,3696995419,27
338,3696995462,27
339,3696995466,27
340,3696995467,27
341,3696995468,27
342,3696996123,27
343,3696997048,96
344,3696997068,27
345,3696997069,27
346,3696997071,27
347,3696997739,96
348,3696998251,70
349,3697105339,53
350,3697105530,93
351,3697105530,91
352,3697105530,122
353,3700191806,14
354,3700194711,14
355,3700199410,44
356,3700326545,83
357,3700333196,75
358,3700345653,50
359,3700347882,146
360,3700348353,96
361,3700359414,124
362,3700362103,34
363,3700365455,44
364,3700368597,44
365,3700370547,50
366,3700374036,90
367,3700375925,61
368,3700377536,133
369,3700382987,67
370,3700386191,61
371,3700386731,98
372,3700388143,14
373,3700391622,34
374,3700398203,13
375,3700504344,92
376,3700533944,104
377,3700534083,104
378,3700535284,28
379,3700535499,28
380,3700536480,28
381,3700540954,14
382,3700541620,53
383,3700541620,27
384,3700541621,53
385,3700541621,27
386,3700541842,14
387,3700542410,28
388,3700542483,53
389,3700542483,27
390,3700542544,53
391,3700542544,27
392,3700542715,14
393,3700542787,44
394,3700542993,43
395,3700543453,53
396,3700543453,27
397,3700543455,53
398,3700543455,27
399,3700543608,53
400,3700543608,27
401,3700544402,53
402,3700544402,27
403,3700544597,14
404,3700544773,34
405,3700545279,53
406,3700545279,27
407,3700545425,53
408,3700545425,27
409,3700545538,14
410,3700545776,49
411,3700545783,43
412,3700545792,43
413,3700545887,43
414,3700545887,10
415,3700545887,96
416,3700545891,100
417,3700545895,100
418,3700545914,104
419,3700545915,104
420,3700545931,104
421,3700545942,104
422,3700545981,14
423,3700546087,53
424,3700546087,27
425,3700546537,43
426,3700546660,104
427,3700546700,104
428,3700546703,51
429,3700546703,75
430,3700546703,92
431,3700546912,43
432,3700547086,53
433,3700547086,27
434,3700547091,53
435,3700547091,27
436,3700547703,100
437,3700547704,3202
438,3700547716,104
439,3700547722,104
440,3700547732,104
441,3700547955,52
442,3700547963,52
443,3700547967,96
444,3700548301,100
445,3700548312,4
446,3700548314,104
447,3700548315,104
448,3700548350,14
449,3700548350,42
450,3700548351,104
451,3700548387,14
452,3700548550,43
453,3700548756,139
454,3700549188,104
455,3700549194,104
456,3700549196,104
457,3700549213,104
458,3700549219,104
459,3700549253,14
460,3700549264,14
